"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","LICA",1017,861.317752544507,1.18074891292508,1.18,"++",42,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","LUCA",2262,3462.42821120437,0.653298743546566,0.65,"+",72,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","OVCA",1795,1560.07977903839,1.15058218439727,1.15,"++",63,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","PACA",921,1341.71938128217,0.686432657117821,0.69,"+",31,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","PRCA",1518,906.049026648907,1.67540602699441,1.68,"++",48,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","SKCA",537,607.548743486473,0.883879698143028,0.88,"+",17,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","STCA",1059,1049.69681687458,1.00886273348253,1.01,"++",64,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","THCA",1288,979.448583080491,1.31502564019142,1.32,"++",33,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","UECA",110,106.094528795563,1.03681124039829,1.04,"++",5,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","BRCA",3519,3146.38804326849,1.11842530279401,1.12,"++",63,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","COCA",1393,1271.280906626,1.09574523831798,1.1,"++",54,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","HNCA",1445,1911.42944826037,0.755978726452668,0.76,"+",44,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","KICA",3431,2380.52823872966,1.44127674865597,1.44,"++",24,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","LICA",4436,2534.70485932047,1.75010513894278,1.75,"++",50,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","LUCA",10034,10189.3100264812,0.984757552172072,0.98,"+",76,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","OVCA",4167,4591.03714648198,0.90763804932249,0.91,"+",64,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","PACA",3178,3948.44135690173,0.80487456004506,0.8,"+",31,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","PRCA",2668,2666.34103830444,1.00062218661144,1,"++",49,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","SKCA",645,1787.90782825487,0.36075685211892,0.36,"+",15,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","STCA",2204,3089.07092032537,0.713483133552614,0.71,"+",67,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","THCA",3467,2882.34287015974,1.20284093745164,1.2,"++",35,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","FOLR2+ Macro","UECA",124,312.217316885656,0.397159264697072,0.4,"+",5,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","BRCA",214,225.21123917576,0.950219006756539,0.95,"+",45,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","COCA",183,90.9953713224477,2.01109130432061,2.01,"++",23,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","HNCA",87,136.815735605382,0.635891767968373,0.64,"+",19,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","KICA",278,170.39275104169,1.63152480548883,1.63,"++",18,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","LICA",291,181.428359904199,1.60393887787807,1.6,"++",32,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","LUCA",478,729.327440179958,0.655398348760956,0.66,"+",58,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","OVCA",356,328.615908350286,1.08333160675996,1.08,"++",51,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","PACA",301,282.620375672709,1.06503290600879,1.07,"++",25,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","PRCA",252,190.850575658155,1.32040471521225,1.32,"++",35,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","SKCA",50,127.974341370506,0.390703319622814,0.39,"+",10,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","STCA",207,221.108610985437,0.936191490134384,0.94,"+",29,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","THCA",167,206.311491332698,0.809455638758848,0.81,"+",23,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","HSPA6+ Macro","UECA",50,22.3477994007713,2.2373567572955,2.24,"++",6,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","BRCA",387,406.833206252986,0.951249785051585,0.95,"+",60,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","COCA",70,164.378735292163,0.425845836297398,0.43,"+",25,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","HNCA",558,247.151006254884,2.25772902346406,2.26,"++",40,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","KICA",103,307.806259946278,0.334626072965432,0.33,"+",18,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","LICA",112,327.741553375328,0.341732681884675,0.34,"+",30,2,89608.6451730528,180,0
