category,sample_id,Malignant,Boundary,Normal
Epi-Epi,GSM6833485_Patient2,0.304347826086956,0.386977091633466,0.132894661173061
Epi-Epi,GSM6833486_Patient3,0.0,0.661016949152542,0.128189708908965
Epi-Epi,GSM6833487_Patient4,0.345938219895287,0.441999260901699,0.11275366019254
Epi-Epi,GSM7019835_OCCR2v,0.936,0.675135247607157,0.684351026332158
Epi-Epi,GSM7019836_OCCS3v,1.0,0.991452991452991,0.702267716535433
Epi-Epi,GSM7058756,0.499259381171823,0.449237532628108,0.204620863739555
Epi-Epi,GSM7058757,0.527210884353741,0.381944444444444,0.349131176959775
Epi-Epi,GSM7058758,0.0,1.0,0.198352565325195
Epi-Epi,GSM7058759,0.724358974358974,0.287878787878787,0.293157491484794
Epi-Epi,GSM7090086_NextSeq2000,0.500429999672545,0.436619718309859,0.89272030651341
Epi-Epi,GSM7090087_NextSeq2000,1.0,0.985714285714285,0.551445724087233
Epi-Epi,GSM7090088_NextSeq2000,0.606060606060606,1.0,0.596477398849762
Epi-Epi,GSM7211257_EHU-W3,0.352070652822532,0.555214295686165,0.157850215875837
Epi-Epi,GSM7421790_PDAC_1,0.0,1.0,0.453542047607827
Epi-Epi,GSM7421791_PDAC_2,0.647887323943662,0.0,0.295794163995
Epi-Epi,GSM7421792_PDAC_3,0.611111111111111,0.0,0.298773006134969
Epi-Epi,GSM7498811_SS1905133,0.601656626506024,0.420265780730897,0.203048043117877
Epi-Epi,GSM7498812_SS1923404,0.353577082921036,0.0,0.377566252519142
Epi-Epi,GSM7498813_SS1945070,0.0,0.0,0.162922885282544
Epi-Epi,GSM7498814_SS1960050,0.0,0.505376344086021,0.388492590779463
Epi-Epi,GSM7498815_SS2002154,0.324585463643568,0.394495412844036,0.390130288046464
Epi-Epi,GSM7498816_SS2005094,0.0,0.391304347826087,0.350205780636276
Epi-Epi,GSM7498817_SS2021309,0.347368421052631,0.0,0.468254457121918
Epi-Epi,GSM7757970_R1-S1,0.357627561007438,0.0,0.329295983746035
Epi-Epi,GSM7757973_R1-S4,0.228868602972829,0.479650474934928,0.503823448519733
Epi-Epi,GSM7757974_R1-S5,0.431900519342786,1.0,0.327136783622318
Epi-Epi,GSM7757975_R1-S6,0.219411750590888,0.415584415584415,0.26700074750177
Epi-Epi,GSM7757976_R2-S1,0.404075700414373,0.489927702924745,0.32127799793998
