"category","sample_id","Region","value"
"Epi-Epi","CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714","Normal",0.469682758620689
"Epi-Epi","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107","Malignant",0.373419383554022
"Epi-Epi","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107","Boundary",0.39504394032291
"Epi-Epi","CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107","Normal",0.48794728602095
"Epi-Epi","D_GTFB1170_SmallCellOvarianCancer","Malignant",0.730242055242055
"Epi-Epi","D_GTFB1170_SmallCellOvarianCancer","Boundary",0.390804597701149
"Epi-Epi","D_GTFB1170_SmallCellOvarianCancer","Normal",0.589996114996115
"Epi-Epi","D_GTFB_1230_OvarianTumor","Malignant",0
"Epi-Epi","D_GTFB_1230_OvarianTumor","Boundary",0.525641025641025
"Epi-Epi","D_GTFB_1230_OvarianTumor","Normal",0.177103669472778
"Epi-Epi","E_MTAB_13530_P10_T1","Malignant",0.294434525641814
"Epi-Epi","E_MTAB_13530_P10_T1","Boundary",0.470078492935635
"Epi-Epi","E_MTAB_13530_P10_T1","Normal",0.517723501614386
"Epi-Epi","E_MTAB_13530_P10_T2","Malignant",0.291497975708502
"Epi-Epi","E_MTAB_13530_P10_T2","Boundary",0.504600063617901
"Epi-Epi","E_MTAB_13530_P10_T2","Normal",0.355670995116073
"Epi-Epi","E_MTAB_13530_P10_T3","Malignant",0.838979096677864
"Epi-Epi","E_MTAB_13530_P10_T3","Boundary",0
"Epi-Epi","E_MTAB_13530_P10_T3","Normal",0.269321057720603
"Epi-Epi","E_MTAB_13530_P10_T4","Malignant",0.155122655122655
"Epi-Epi","E_MTAB_13530_P10_T4","Boundary",0.50638596491228
"Epi-Epi","E_MTAB_13530_P10_T4","Normal",0.388728736377388
"Epi-Epi","E_MTAB_13530_P11_T1","Malignant",0.358395989974937
"Epi-Epi","E_MTAB_13530_P11_T1","Boundary",0.611830357142857
"Epi-Epi","E_MTAB_13530_P11_T1","Normal",0.382568815346214
"Epi-Epi","E_MTAB_13530_P11_T2","Malignant",0.693877551020408
"Epi-Epi","E_MTAB_13530_P11_T2","Boundary",0.46201923076923
"Epi-Epi","E_MTAB_13530_P11_T2","Normal",0.302893956437263
"Epi-Epi","E_MTAB_13530_P11_T3","Malignant",1
"Epi-Epi","E_MTAB_13530_P11_T3","Boundary",0
"Epi-Epi","E_MTAB_13530_P11_T3","Normal",0.32425200793901
"Epi-Epi","E_MTAB_13530_P11_T4","Malignant",1
"Epi-Epi","E_MTAB_13530_P11_T4","Boundary",0
"Epi-Epi","E_MTAB_13530_P11_T4","Normal",0.404652338539649
"Epi-Epi","E_MTAB_13530_P15_T1","Malignant",0.562114223136656
"Epi-Epi","E_MTAB_13530_P15_T1","Boundary",0.464446871710217
"Epi-Epi","E_MTAB_13530_P15_T1","Normal",0.365043848864847
"Epi-Epi","E_MTAB_13530_P15_T2","Malignant",0.476562770263258
"Epi-Epi","E_MTAB_13530_P15_T2","Boundary",0.425323212366989
"Epi-Epi","E_MTAB_13530_P15_T2","Normal",0.344874757992871
"Epi-Epi","E_MTAB_13530_P16_T1","Malignant",0.516646341463414
"Epi-Epi","E_MTAB_13530_P16_T1","Boundary",0.826295297993411
"Epi-Epi","E_MTAB_13530_P16_T1","Normal",0.354682767510458
"Epi-Epi","E_MTAB_13530_P16_T2","Malignant",0
"Epi-Epi","E_MTAB_13530_P16_T2","Boundary",0.565573770491803
"Epi-Epi","E_MTAB_13530_P16_T2","Normal",0.367703361882459
"Epi-Epi","E_MTAB_13530_P17_T1","Malignant",0.424994563126286
"Epi-Epi","E_MTAB_13530_P17_T1","Boundary",0.686567164179104
"Epi-Epi","E_MTAB_13530_P17_T1","Normal",0.484662320002789
"Epi-Epi","E_MTAB_13530_P17_T2","Malignant",0.547915295150318
"Epi-Epi","E_MTAB_13530_P17_T2","Boundary",0.504630098595353
"Epi-Epi","E_MTAB_13530_P17_T2","Normal",0.368511171167717
"Epi-Epi","E_MTAB_13530_P19_T1","Malignant",0.453317348099075
"Epi-Epi","E_MTAB_13530_P19_T1","Boundary",0.456581735744911
"Epi-Epi","E_MTAB_13530_P19_T1","Normal",0.382066195932659
"Epi-Epi","E_MTAB_13530_P19_T2","Malignant",0.44677164960068
"Epi-Epi","E_MTAB_13530_P19_T2","Boundary",0.513736263736263
"Epi-Epi","E_MTAB_13530_P19_T2","Normal",0.502993430086401
"Epi-Epi","E_MTAB_13530_P24_T1","Malignant",0
"Epi-Epi","E_MTAB_13530_P24_T1","Boundary",1
"Epi-Epi","E_MTAB_13530_P24_T1","Normal",0.367536455924059
"Epi-Epi","E_MTAB_13530_P24_T2","Malignant",0.392203691709844
"Epi-Epi","E_MTAB_13530_P24_T2","Boundary",0.697039897039897
"Epi-Epi","E_MTAB_13530_P24_T2","Normal",0.312535010488659
"Epi-Epi","E_MTAB_13530_P25_T1","Malignant",0.51131221719457
"Epi-Epi","E_MTAB_13530_P25_T1","Boundary",0.607333333333333
"Epi-Epi","E_MTAB_13530_P25_T1","Normal",0.482990280160091
"Epi-Epi","E_MTAB_13530_P25_T2","Malignant",0.400853192115328
"Epi-Epi","E_MTAB_13530_P25_T2","Boundary",1
"Epi-Epi","E_MTAB_13530_P25_T2","Normal",0.331330624799155
"Epi-Epi","GSE144239_GSM4565823","Malignant",0.877551020408163
"Epi-Epi","GSE144239_GSM4565823","Boundary",0
"Epi-Epi","GSE144239_GSM4565823","Normal",0.330200323586809
"Epi-Epi","GSE144239_GSM4565825","Malignant",0.231275538425851
"Epi-Epi","GSE144239_GSM4565825","Boundary",0.459748843357567
"Epi-Epi","GSE144239_GSM4565825","Normal",0.169220349089683
"Epi-Epi","GSE144239_GSM4565826","Malignant",0.851851851851851
"Epi-Epi","GSE144239_GSM4565826","Boundary",0
