LR pair,Median Jaccard index,No. of cancer types tested,No. of cancer types with P < 0.01,Replication P value,BH-adjusted q value (FDR),Rank
PSAP-SORT1,0.0175640435649639,13,10,2.7827128e-18,4.51058330604651e-17,86
AGRN-ITGB1,0.0175492610837438,13,7,1.62788813920032e-11,6.81464284097673e-11,87
GNAI2-ADCY7,0.0174702471772962,13,9,6.8960885995e-16,6.49536993763716e-15,88
VEGFC-NRP2,0.0173926194797338,13,6,1.61570301840039e-09,5.00508890588923e-09,89
ADAM9-ITGB5,0.0172413793103448,13,5,1.20372945191273e-07,2.71960916688226e-07,90
COL6A3-ITGA1,0.0172413793103448,13,8,1.2308202828208e-13,7.49241691813185e-13,91
COL7A1-ITGB1,0.0172388280556377,13,9,6.8960885995e-16,6.49536993763716e-15,92
CXCL9-FCGR2A,0.0170952659263588,13,8,1.2308202828208e-13,7.49241691813185e-13,93
TNC-ITGAV,0.0170289855072463,13,9,6.8960885995e-16,6.49536993763716e-15,94
FN1-ITGB1,0.0169686511360368,13,9,6.8960885995e-16,6.49536993763716e-15,95
SPP1-ITGB5,0.0165300546448087,13,8,1.2308202828208e-13,7.49241691813185e-13,96
TIMP2-ITGB1,0.0165300546448087,13,8,1.2308202828208e-13,7.49241691813185e-13,97
SPINT1-ST14,0.016508152173913,13,3,0.000265305294717217,0.000378542047938383,98
MMP9-CD44,0.0164331896551724,13,12,1.288e-23,1.12217e-21,99
PDGFB-ITGAV,0.0164110842076943,13,8,1.2308202828208e-13,7.49241691813185e-13,100
COL1A1-ITGAV,0.0162698412698411,13,9,6.8960885995e-16,6.49536993763716e-15,101
LAMC1-ITGB1,0.0162612374405076,13,5,1.20372945191273e-07,2.71960916688226e-07,102
PSEN1-NCSTN,0.0161967213114754,13,3,0.000265305294717217,0.000378542047938383,103
MMP9-ITGAM,0.0156288156288155,13,12,1.288e-23,1.12217e-21,104
ADAM10-GPNMB,0.015399194503672,13,10,2.7827128e-18,4.51058330604651e-17,105
VEGFA-NRP1,0.0151411657559198,13,4,6.6520212646993e-06,1.19342569407861e-05,106
SEMA3F-NRP1,0.0149553571428571,13,6,1.61570301840039e-09,5.00508890588923e-09,107
DSC2-DSG2,0.0148547535211267,13,2,0.0072489436779352,0.00862203710498436,108
PLAT-ITGB2,0.0147345612134344,13,9,6.8960885995e-16,6.49536993763716e-15,109
APOE-SDC2,0.0147090633787583,13,9,6.8960885995e-16,6.49536993763716e-15,110
LIN7C-ABCA1,0.0147058823529411,13,5,1.20372945191273e-07,2.71960916688226e-07,111
SEMA4A-PLXNB2,0.0146307725047882,13,3,0.000265305294717217,0.000378542047938383,112
SEMA7A-PLXNC1,0.0146055437100212,13,7,1.62788813920032e-11,6.81464284097673e-11,113
ARPC5-LDLR,0.0145692567567567,13,8,1.2308202828208e-13,7.49241691813185e-13,114
FADD-TRAF2,0.0145202020202019,13,3,0.000265305294717217,0.000378542047938383,115
COL4A1-ITGB1,0.0144957983193276,13,7,1.62788813920032e-11,6.81464284097673e-11,116
PLAU-ITGA3,0.0143936300530828,13,11,7.65766e-21,2.96521612222222e-19,117
BMP1-BMPR1A,0.0143892339544513,13,5,1.20372945191273e-07,2.71960916688226e-07,118
ICAM1-MUC1,0.0142973856209149,13,8,1.2308202828208e-13,7.49241691813185e-13,119
FBN1-ITGA5,0.0142712550607287,13,9,6.8960885995e-16,6.49536993763716e-15,120
WNT5A-PTK7,0.0140873015873014,13,6,1.61570301840039e-09,5.00508890588923e-09,121
LAMA5-ITGA3,0.0139921722113502,13,6,1.61570301840039e-09,5.00508890588923e-09,122
LAMA5-ITGA2,0.0139921722113502,13,4,6.6520212646993e-06,1.19342569407861e-05,123
APOE-LRP5,0.0139921722113502,13,7,1.62788813920032e-11,6.81464284097673e-11,124
SELPLG-ITGAM,0.0138729429774205,13,9,6.8960885995e-16,6.49536993763716e-15,125
WNT5A-LDLR,0.0137398833051006,13,4,6.6520212646993e-06,1.19342569407861e-05,126
ICAM1-ITGAL,0.0136212008895478,13,7,1.62788813920032e-11,6.81464284097673e-11,127
SEMA3F-PLXNA3,0.0134505021520803,13,1,0.122478977001032,0.128759950180572,128
SEMA4A-NRP1,0.0133928571428571,13,5,1.20372945191273e-07,2.71960916688226e-07,129
COL4A2-CD93,0.0133428215619996,13,3,0.000265305294717217,0.000378542047938383,130
SEMA7A-ITGB1,0.0131601731601731,13,6,1.61570301840039e-09,5.00508890588923e-09,131
SEMA4C-PLXNB2,0.0130905679686167,13,5,1.20372945191273e-07,2.71960916688226e-07,132
GNAI2-C5AR1,0.013076923076923,13,12,1.288e-23,1.12217e-21,133
LGALS1-ITGB1,0.0130105401844532,13,9,6.8960885995e-16,6.49536993763716e-15,134
COL18A1-ITGA5,0.0129957805907172,13,9,6.8960885995e-16,6.49536993763716e-15,135
NID1-ITGAV,0.0129870129870129,13,8,1.2308202828208e-13,7.49241691813185e-13,136
TIMP1-CD63,0.0129468760441029,13,10,2.7827128e-18,4.51058330604651e-17,137
