"lr_pair","cancer_type","strength","group_pair","z_score"
"LAMA4-ITGAV","OVCA",0.00461906,"Endothelial-Mural",-0.0943919
"LAMC1-ITGA1","OVCA",0.00517022,"Endothelial-Mural",-0.3936882
"LAMC1-ITGAV","OVCA",0.0034736,"Endothelial-Mural",-0.1032517
"LUM-ITGB1","OVCA",0.01722604,"Endothelial-Mural",-0.2210431
"PGF-NRP1","OVCA",0.00541314,"Endothelial-Mural",-0.4758309
"PGF-NRP2","OVCA",0.00214319,"Endothelial-Mural",-0.7754976
"THBS1-ITGA6","OVCA",0.00485737,"Endothelial-Mural",-0.3739767
"THBS1-ITGB1","OVCA",0.01629953,"Endothelial-Mural",-0.3066276
"TIMP1-CD63","OVCA",0.14960296,"Endothelial-Mural",0.24408587
"TIMP2-CD44","OVCA",0.01724253,"Endothelial-Mural",0.4295582
"TIMP3-CD44","OVCA",0.03161261,"Endothelial-Mural",0.33766685
"APP-CAV1","PACA",0.08533731,"Endothelial-Mural",-0.5307935
"APP-CD74","PACA",0.06254113,"Endothelial-Mural",0.21088968
"COL18A1-ITGB1","PACA",0.07984216,"Endothelial-Mural",0.22246484
"COL18A1-KDR","PACA",0.01468834,"Endothelial-Mural",-0.4476178
"COL1A1-ITGA5","PACA",0.03298974,"Endothelial-Mural",0.17678952
"COL1A2-ITGA1","PACA",0.01425031,"Endothelial-Mural",-0.070887
"COL4A1-CD47","PACA",0.00907328,"Endothelial-Mural",-0.3396824
"COL4A1-ITGA1","PACA",0.04318935,"Endothelial-Mural",0.49635021
"COL4A1-ITGAV","PACA",0.01687529,"Endothelial-Mural",0.3773772
"COL6A1-ITGA1","PACA",0.01053175,"Endothelial-Mural",0.03953522
"COL6A2-ITGA1","PACA",0.01603047,"Endothelial-Mural",0.02233949
"COL6A2-ITGB1","PACA",0.08885401,"Endothelial-Mural",0.16118796
"COL6A3-ITGA1","PACA",0.00259694,"Endothelial-Mural",-0.3111556
"COL6A3-ITGB1","PACA",0.01534613,"Endothelial-Mural",-0.5162842
"EDN1-EDNRA","PACA",0.00241922,"Endothelial-Mural",-0.3979991
"EFEMP2-AQP1","PACA",0.00807051,"Endothelial-Mural",-0.1725986
"FYN-THY1","PACA",0.00192493,"Endothelial-Mural",-0.5449937
"GNAI2-EDNRA","PACA",0.01596483,"Endothelial-Mural",-0.207534
"GNAI2-F2R","PACA",0.00249176,"Endothelial-Mural",-0.5467243
"GNAI2-S1PR1","PACA",0.0089047,"Endothelial-Mural",0.73536007
"GNAI2-S1PR3","PACA",0.0166663,"Endothelial-Mural",0.53455864
"HBEGF-CD44","PACA",0.00197298,"Endothelial-Mural",-0.3922997
"ICAM1-CAV1","PACA",0.02081528,"Endothelial-Mural",-0.437242
